"Save and Continue Edit","Salvar e Continuar Editando"
"Choose Condition Type","Escolher Tipo de Condição"
"Meta Information","Informação Meta"
"Meta Robots","Meta Robots"
Canonical,Canônico
"Store Schedule","Horário de Loja"
"Show Schedule","Mostrar Horário"
"-- Please Select --","-- Por favor, selecione --"
"Add New","Adicionar Novo"
Enable,Ativar
Disable,Desativar
"Delete items","Excluir itens"
"Are you sure you want to delete selected items?","Você tem certeza de que deseja excluir os itens selecionados?"
"Store Views","Visualizações de Loja"
Name,Nome
Approve,Aprovar
Decline,Recusar
Id,Id
"Location Id","ID da Localização"
"Customer Name","Nome do Cliente"
"Customer Email","E-mail do Cliente"
"Date Placed","Data de Colocação"
"Date Published","Data de Publicação"
"Store Locator Schedule","Horário do Localizador de Lojas"
"Schedule Name","Nome do Horário"
"Add New Schedule","Adicionar Novo Horário"
Schedule,Horário
